0	 4.5, 0, 0	 -4.5, 0, 0
1	 	 -4.58089, 0, 0	 4.57127, 0, 0
2	 	 -4.63711, 0, 0	 4.63442, 0, 0
3	 	 -4.68228, 0, 0	 4.68471, 0, 0
4	 	 -4.71915, 0, 0	 4.72545, 0, 0
5	 	 -4.74965, 0, 0	 4.75893, 0, 0
6	 	 -4.77518, 0, 0	 4.78679, 0, 0
7	 	 -4.79677, 0, 0	 4.81024, 0, 0
8	 	 -4.8152, 0, 0	 4.83017, 0, 0
9	 	 -4.83107, 0, 0	 4.84725, 0, 0
10	 	 -4.84482, 0, 0	 4.86201, 0, 0
11	 	 -4.85683, 0, 0	 4.87485, 0, 0
12	 	 -4.86737, 0, 0	 4.88609, 0, 0
13	 	 -4.87668, 0, 0	 4.89599, 0, 0
14	 	 -4.88494, 0, 0	 4.90476, 0, 0
15	 	 -4.89232, 0, 0	 4.91256, 0, 0
16	 	 -4.89892, 0, 0	 4.91953, 0, 0
17	 	 -4.90485, 0, 0	 4.92579, 0, 0
18	 	 -4.91021, 0, 0	 4.93143, 0, 0
19	 	 -4.91506, 0, 0	 4.93652, 0, 0
20	 	 -4.91947, 0, 0	 4.94115, 0, 0
21	 	 -4.92349, 0, 0	 4.94536, 0, 0
22	 	 -4.92717, 0, 0	 4.9492, 0, 0
23	 	 -4.93054, 0, 0	 4.95271, 0, 0
24	 	 -4.93363, 0, 0	 4.95594, 0, 0
25	 	 -4.93648, 0, 0	 4.95891, 0, 0
26	 	 -4.93911, 0, 0	 4.96165, 0, 0
27	 	 -4.94154, 0, 0	 4.96418, 0, 0
28	 	 -4.9438, 0, 0	 4.96652, 0, 0
29	 	 -4.94589, 0, 0	 4.96869, 0, 0
30	 	 -4.94784, 0, 0	 4.97071, 0, 0
31	 	 -4.94965, 0, 0	 4.97259, 0, 0
32	 	 -4.95135, 0, 0	 4.97434, 0, 0
33	 	 -4.95293, 0, 0	 4.97598, 0, 0
34	 	 -4.95442, 0, 0	 4.97751, 0, 0
35	 	 -4.95581, 0, 0	 4.97895, 0, 0
36	 	 -4.95712, 0, 0	 4.9803, 0, 0
37	 	 -4.95834, 0, 0	 4.98157, 0, 0
38	 	 -4.9595, 0, 0	 4.98276, 0, 0
39	 	 -4.96059, 0, 0	 4.98388, 0, 0
40	 	 -4.96162, 0, 0	 4.98494, 0, 0
41	 	 -4.96259, 0, 0	 4.98594, 0, 0
42	 	 -4.96351, 0, 0	 4.98688, 0, 0
43	 	 -4.96438, 0, 0	 4.98778, 0, 0
44	 	 -4.9652, 0, 0	 4.98862, 0, 0
45	 	 -4.96598, 0, 0	 4.98942, 0, 0
46	 	 -4.96673, 0, 0	 4.99019, 0, 0
47	 	 -4.96743, 0, 0	 4.99091, 0, 0
48	 	 -4.9681, 0, 0	 4.9916, 0, 0
49	 	 -4.96874, 0, 0	 4.99225, 0, 0
50	 	 -4.96935, 0, 0	 4.99287, 0, 0
51	 	 -4.96993, 0, 0	 4.99347, 0, 0
52	 	 -4.97048, 0, 0	 4.99404, 0, 0
53	 	 -4.97101, 0, 0	 4.99458, 0, 0
54	 	 -4.97152, 0, 0	 4.99509, 0, 0
55	 	 -4.972, 0, 0	 4.99559, 0, 0
56	 	 -4.97246, 0, 0	 4.99606, 0, 0
57	 	 -4.9729, 0, 0	 4.99651, 0, 0
58	 	 -4.97333, 0, 0	 4.99694, 0, 0
59	 	 -4.97373, 0, 0	 4.99736, 0, 0
60	 	 -4.97412, 0, 0	 4.99775, 0, 0
61	 	 -4.97449, 0, 0	 4.99814, 0, 0
62	 	 -4.97485, 0, 0	 4.9985, 0, 0
63	 	 -4.9752, 0, 0	 4.99885, 0, 0
64	 	 -4.97553, 0, 0	 4.99919, 0, 0
65	 	 -4.97585, 0, 0	 4.99952, 0, 0
66	 	 -4.97616, 0, 0	 4.99983, 0, 0
67	 	 -4.97645, 0, 0	 5.00013, 0, 0
68	 	 -4.97674, 0, 0	 5.00042, 0, 0
69	 	 -4.97701, 0, 0	 5.0007, 0, 0
