0-0,1,1,1,0.01,1.01257,1.25992,0.984891
0-0,1.01257,1.25992,0.984891,0.02,1.04882,1.524,0.973114
0-0,1.04882,1.524,0.973114,0.03,1.10721,1.79831,0.965159
0-0,1.10721,1.79831,0.965159,0.04,1.18687,2.08855,0.961737
0-0,1.18687,2.08855,0.961737,0.05,1.28755,2.40016,0.963806
0-0,1.28755,2.40016,0.963806,0.06,1.40957,2.73855,0.972608
0-0,1.40957,2.73855,0.972608,0.07,1.55369,3.10916,0.989731
0-0,1.55369,3.10916,0.989731,0.08,1.72115,3.51758,1.01719
0-0,1.72115,3.51758,1.01719,0.09,1.9136,3.96962,1.05751
0-0,1.9136,3.96962,1.05751,0.1,2.13311,4.47142,1.1139
0-0,2.13311,4.47142,1.1139,0.11,2.38215,5.02943,1.19035
0-0,2.38215,5.02943,1.19035,0.12,2.66358,5.65045,1.29189
0-0,2.66358,5.65045,1.29189,0.13,2.98067,6.34163,1.42479
0-0,2.98067,6.34163,1.42479,0.14,3.33705,7.11035,1.59684
0-0,3.33705,7.11035,1.59684,0.15,3.73672,7.96408,1.81776
0-0,3.73672,7.96408,1.81776,0.16,4.18401,8.91016,2.0995
0-0,4.18401,8.91016,2.0995,0.17,4.68352,9.95536,2.4568
0-0,4.68352,9.95536,2.4568,0.18,5.23998,11.1053,2.90756
0-0,5.23998,11.1053,2.90756,0.19,5.85815,12.3637,3.47343
0-0,5.85815,12.3637,3.47343,0.2,6.54253,13.7312,4.1802
0-0,6.54253,13.7312,4.1802,0.21,7.29705,15.2036,5.05803
0-0,7.29705,15.2036,5.05803,0.22,8.12456,16.7704,6.14147
0-0,8.12456,16.7704,6.14147,0.23,9.02623,18.4117,7.4688
0-0,9.02623,18.4117,7.4688,0.24,10.0007,20.0956,9.08055
0-0,10.0007,20.0956,9.08055,0.25,11.0428,21.7754,11.0168
0-0,11.0428,21.7754,11.0168,0.26,12.143,23.3861,13.3125
0-0,12.143,23.3861,13.3125,0.27,13.285,24.8431,15.9915
0-0,13.285,24.8431,15.9915,0.28,14.4454,26.0423,19.0574
0-0,14.4454,26.0423,19.0574,0.29,15.5922,26.8642,22.4842
0-0,15.5922,26.8642,22.4842,0.3,16.6848,27.1835,26.2065
0-0,16.6848,27.1835,26.2065,0.31,17.6747,26.8836,30.1123
0-0,17.6747,26.8836,30.1123,0.32,18.5082,25.877,34.0438
0-0,18.5082,25.877,34.0438,0.33,19.1307,24.1271,37.8061
0-0,19.1307,24.1271,37.8061,0.34,19.4924,21.6657,41.1889
0-0,19.4924,21.6657,41.1889,0.35,19.5551,18.6002,43.996
0-0,19.5551,18.6002,43.996,0.36,19.2977,15.105,46.0778
0-0,19.2977,15.105,46.0778,0.37,18.7202,11.3973,47.3559
0-0,18.7202,11.3973,47.3559,0.38,17.8436,7.70352,47.834
0-0,17.8436,7.70352,47.834,0.39,16.708,4.22501,47.5907
0-0,16.708,4.22501,47.5907,0.4,15.3662,1.11305,46.7578
0-0,15.3662,1.11305,46.7578,0.41,13.8776,-1.5423,45.4931
0-0,13.8776,-1.5423,45.4931,0.42,12.3015,-3.70969,43.9537
0-0,12.3015,-3.70969,43.9537,0.43,10.6922,-5.40465,42.2777
0-0,10.6922,-5.40465,42.2777,0.44,9.09585,-6.67405,40.5741
0-0,9.09585,-6.67405,40.5741,0.45,7.54866,-7.5811,38.9205
0-0,7.54866,-7.5811,38.9205,0.46,6.07718,-8.19358,37.366
0-0,6.07718,-8.19358,37.366,0.47,4.69905,-8.57606,35.9374
0-0,4.69905,-8.57606,35.9374,0.48,3.42445,-8.78553,34.6445
0-0,3.42445,-8.78553,34.6445,0.49,2.25762,-8.86976,33.4862
0-0,2.25762,-8.86976,33.4862,0.5,1.19828,-8.8672,32.4547
0-0,1.19828,-8.8672,32.4547,0.51,0.242938,-8.80791,31.5387
0-0,0.242938,-8.80791,31.5387,0.52,-0.614053,-8.71482,30.7256
0-0,-0.614053,-8.71482,30.7256,0.53,-1.37971,-8.605,30.003
